system,m_correctnessA,m_correctnessB,m_timeA,m_timeB,m_hyperVolumnA,m_hyperVolumnB,m_spreadA,m_spreadB,A,B,intersect,uniqueA,uniqueB,correctInA,correctInB,intersectCorrect,uniqueCorrectA,uniqueCorrectB,nonDominant,nonDominantInA,nonDominantInB,uniqueNonDominantInA,uniqueNonDominantInB
jchat\IBDE_Attr1\para4\ps_100\21\ProductLine.log,100,94,5.738,4.998,0.288548753,0.29671544,0.691011983,1.602715783,39,21,19,20,2,39,19,19,20,0,39,39,19,20,0
jchat\IBDE_Attr1\para4,100,92.36666667,5.738,5.021933333,0.288548753,0.301288055,0.691011983,1.591045094,39,23,19,20,4,39,19,19,20,0,39,39,19,20,0
jchat\IBDE_Attr2_old\para4\ps_100\3\ProductLine.log,100,91,0.727,4.221,0.271350908,0.270883214,0.391230072,1.777777778,9,12,8,1,4,9,8,8,1,0,9,9,8,1,0
jchat\IBDE_Attr2_old\para4,100,91.71914983,0.727,4.3729,0.271350908,0.259050417,0.391230072,1.779910478,9,19,9,0,10,9,9,9,0,0,9,9,9,0,0
webportal\IBDE_Attr1\para4\ps_100\6\ProductLine.log,100,98,219.551,5.43,0.339694844,0.317356064,0.865438498,1.30614885,451,37,32,419,5,451,35,32,419,3,451,451,32,419,0
webportal\IBDE_Attr1\para4,100,98,219.551,5.426566667,0.339694844,0.308675539,0.865438498,1.214039987,451,259,97,354,162,451,232,97,354,135,451,451,97,354,0
webportal\IBDE_Attr2\para4\ps_100\25\ProductLine.log,100,100,260.088,5.494,0.308935982,0.271192729,0.984833093,1.241356761,768,40,30,738,10,768,40,30,738,10,768,768,30,738,0
webportal\IBDE_Attr2\para4,100,98.73333333,260.088,5.555533333,0.308935982,0.280736984,0.984833093,1.25818533,768,299,116,652,183,768,277,116,652,161,768,768,116,652,0
